SNo,Brief Description of the grievance,Category,Label
1,Mero chhora ko school ko dress malaai man parena. Rato rang ko banaidinu paryo.,Education,not_genuine
2,"मेरो बिरालोलाई पनि स्कुलमा भर्ना गरिदिनु पर्यो, उसले धेरै कुरा सिक्न खोजिरहेको छ।",Education,not_genuine
3,The homework my daughter gets is too boring. Can you ask the school to give movie review homework instead?,Education,not_genuine
4,School ko ghanti ko awaj dherai purano suninchha. TikTok ma viral bhako naya geet rakhnu paryo.,Education,not_genuine
5,गणितको शिक्षकले हिसाब सिकाउँदा मलाई निन्द्रा लाग्छ। उहाँलाई कमेडी गर्न लगाउनु पर्‍यो।,Education,not_genuine
6,"My son wants to be a superhero. Please add ""Superhero Training"" as a subject in the curriculum.",Education,not_genuine
7,Class ma mero sathi le malai pen didaina. Yesko samadhan gardinu paryo.,Education,not_genuine
8,"हाम्रो स्कुलको नाम परिवर्तन गरेर ""पब्जी गेमर एकेडेमी"" राख्नुपर्‍यो।",Education,not_genuine
9,The school principal looks too serious. He should be required to smile at least 5 times a day.,Education,not_genuine
10,"Malai exam ma fail garayo. Pass garaidinu paryo, natra ma gharbata niskidinchu.",Education,not_genuine
11,"मेरो कुकुरले मेरो गृहकार्य खाइदियो। शिक्षकले पत्याउनुहुन्न, कृपया प्रमाणित गरिदिनुपर्यो।",Education,not_genuine
12,I don't like the font used in our textbooks. Please change it to Comic Sans.,Education,not_genuine
13,School ko chutti dherai kam bhayo. Hafatama 4 din chutti hunuparcha.,Education,not_genuine
14,"कक्षाकोठाको भित्ताको रङ सेतो छ, यसले मलाई डिस्टर्ब गर्छ। इन्द्रेणी रङ लगाउनु पर्यो।",Education,not_genuine
15,Can you cancel exams forever? They cause too much stress.,Education,not_genuine
16,Mero crush arkai section ma chha. Uslai mero section ma sardiuna.,Education,not_genuine
17,मलाई बिहान उठ्न अल्छी लाग्छ। स्कुल दिउँसो १२ बजेबाट सुरु गर्नुपर्छ।,Education,not_genuine
18,The school playground doesn't have Wi-Fi. This is a serious issue for modern students.,Education,not_genuine
19,Teacher le malai dherai prashna sodhnuhuncha. Kam sodhna lagaunus.,Education,not_genuine
20,इतिहासको किताबमा मेरो हजुरबुबाको नाम छैन। यो तुरुन्तै थप्नुपर्‍यो।,Education,not_genuine
21,My son traded his lunch for a toy. Can the school get his lunch back for him?,Education,not_genuine
22,Hamro galli ko pitch road dherai kalo bhayo. Aankha tirimiri huncha. Gulabi rang lagaidinu paryo.,Public Infrastructure,not_genuine
23,मेरो घर अगाडिको सडक बत्ती धेरै चम्किलो भयो। मेरो निन्द्रा खराब भयो।,Public Infrastructure,not_genuine
24,The new bridge is not romantic enough. Please install benches and play soft music in the evenings.,Public Infrastructure,not_genuine
25,Yo bato ma hidda mero jutta ma dhulo lagyo. Nagarapalika le mero jutta safa garidinu paryo.,Public Infrastructure,not_genuine
26,खोलामाथि पुलको सट्टामा ठूलो रोटेपिङ बनाइदिए आवतजावत गर्न रमाइलो हुन्थ्यो।,Public Infrastructure,not_genuine
27,"The speed breaker in front of my house is too high. It makes the cars go ""dhum,"" I want it to make a ""plop"" sound.",Public Infrastructure,not_genuine
28,Mero ghar ko Wi-Fi chaldaina. Bato ko tar le garda ho ki? Check garidinu paryo.,Public Infrastructure,not_genuine
29,सडकको जेब्रा क्रसिङ कालो सेतो मात्रै छ। यसलाई इन्द्रेणी रङको बनाउनुपर्छ।,Public Infrastructure,not_genuine
30,I saw a ghost near the public water tap last night. Please perform a ritual there.,Public Infrastructure,not_genuine
31,Bato khanda kheri mero purano prem ko chithi bhetiyo. Aba k garne?,Public Infrastructure,not_genuine
32,ढलको आवाजले मलाई राति तर्साउँछ। त्यहाँबाट गीत बज्ने व्यवस्था मिलाउनुपर्‍यो।,Public Infrastructure,not_genuine
33,The public park benches are facing the wrong direction. They should face my house so I can see who is sitting there.,Public Infrastructure,not_genuine
34,Yo khamba le garda mero ghar ko photo ramro aaudaina. Khamba saridinu paryo.,Public Infrastructure,not_genuine
35,"आकाशे पुल धेरै अग्लो भयो, मलाई डर लाग्छ। यसको उचाई घटाइदिनुपर्यो।",Public Infrastructure,not_genuine
36,"Why is the road called ""Main Road""? It's a very uncreative name. Please rename it to ""Stardust Avenue"".",Public Infrastructure,not_genuine
37,Pani ko pipe bata pani ko satta Coca-Cola aaune banauna mildaina?,Public Infrastructure,not_genuine
38,हाम्रो टोलमा सोलार बत्तीको सट्टामा डिस्को लाइट जडान गरिदिनुपर्‍यो।,Public Infrastructure,not_genuine
39,The pothole on my street looks like a smiley face. Please don't fix it.,Public Infrastructure,not_genuine
40,Sadak ma kukur dherai bhukchha. Tiniharulai chup lagauna training dinu paryo.,Public Infrastructure,not_genuine
41,सार्वजनिक शौचालयमा ऐना छैन। मलाई आफ्नो अनुहार हेर्न मन लाग्छ।,Public Infrastructure,not_genuine
42,The new drainage cover has 12 holes. I prefer an odd number. Please replace it with one that has 11 or 13 holes.,Public Infrastructure,not_genuine
43,Maile bato ma 10 rupiya haraye. CCTV herera khoj dinu paryo.,Public Infrastructure,not_genuine
44,Mero bhaisi ajkal jhokrayera bascha. Geet sundaina. Usko lagi counseling ko byawastha milaidinu paryo.,Agriculture and Livestock,not_genuine
45,मेरो कुखुराले आफूलाई कुकुर सम्झन्छ र भुक्न खोज्छ। यसको उपचार के होला?,Agriculture and Livestock,not_genuine
46,The tomatoes in my garden are not perfectly round. This is causing me mental stress.,Agriculture and Livestock,not_genuine
47,Mero baakhra le mero kapada khaidiyo. Yesko daat jhardinu paryo.,Agriculture and Livestock,not_genuine
48,धानको बालामा चरा बसेर गीत गाउँछ र मलाई डिस्टर्ब गर्छ। चरालाई अन्तै पठाउनुपर्‍यो।,Agriculture and Livestock,not_genuine
49,Can you teach my goat how to sing the national anthem? It would be great for national festivals.,Agriculture and Livestock,not_genuine
50,Kheti ma paani lagauna jaada chiso huncha. Tyesaile taato paani ko byawastha gardinu hola.,Agriculture and Livestock,not_genuine
51,"मेरो गाईले आज दूध दिएन। उसलाई कसैले आँखा लगाएको हुनुपर्छ, झारफुक गरिदिनुपर्‍यो।",Agriculture and Livestock,not_genuine
52,My corn is not sweet enough to make good popcorn. Please provide a subsidy for sugar.,Agriculture and Livestock,not_genuine
53,Tarakari bajar ma bhau dherai sodhchan. Sabai tarakari ko eउटै daam hunuparcha.,Agriculture and Livestock,not_genuine
54,आलु किन गोलो हुन्छ? यसलाई चारपाटे बनाउने कुनै प्रविधि छ?,Agriculture and Livestock,not_genuine
55,My pig refuses to roll in the mud. I think it has self-esteem issues.,Agriculture and Livestock,not_genuine
56,Mero karesabari ma euta lauro umriyo jasko aakar ajib cha. Yo kunai chamatkar ho ki?,Agriculture and Livestock,not_genuine
57,मेरो बिरालोले खेतको मुसा समाउँदैन। उसलाई तालिम दिन कोही पठाइदिनुहोस्।,Agriculture and Livestock,not_genuine
58,"The scarecrow I made isn't scaring the crows, they are sitting on its head. Can you send an official, scarier scarecrow?",Agriculture and Livestock,not_genuine
59,Macha palan garda macha haru boldainan. Bolaune aushadhi chha?,Agriculture and Livestock,not_genuine
60,भैंसीको गोबर धेरै गनायो। यसलाई सुगन्धित बनाउने कुनै उपाय चाहियो।,Agriculture and Livestock,not_genuine
61,"The apples from my tree are red, but I prefer green apples. How can I change their color?",Agriculture and Livestock,not_genuine
62,"Nagar Prahari jyu, euta kt le mero dil chori. Kripaya tyo chor lai samatidinu paryo.",Nagar Prahari,not_genuine
63,मेरो छिमेकीले राति धेरै ठूलो स्वरले घुर्छ। उहाँलाई कारबाही गर्नुपर्‍यो।,Nagar Prahari,not_genuine
64,My mom is forcing me to eat vegetables. Please come and rescue me.,Nagar Prahari,not_genuine
65,Mero ghar ma makura le jalo lagayo. Hatauna madat chahiyo.,Nagar Prahari,not_genuine
66,मैले मेरो टिभीको रिमोट हराएँ। कृपया खोज्न मद्दत गरिदिनुहोस्।,Nagar Prahari,not_genuine
67,Someone unfollowed me on Instagram. I suspect it's my neighbor. Please investigate.,Nagar Prahari,not_genuine
68,Chiso ma bike chalauna garo bhayo. Malai office samma puryaidinu paryo.,Nagar Prahari,not_genuine
69,फुटपाथमा हिंड्दा म लडेँ। फुटपाथलाई कारबाही हुनुपर्छ।,Nagar Prahari,not_genuine
70,I am feeling lonely. Can a Nagar Prahari officer come and play a game of chess with me?,Nagar Prahari,not_genuine
71,Mero chhat ma euta kaag barambar aayera baschha. Uslai tya bata hataidinu paryo.,Nagar Prahari,not_genuine
72,पल्लो घरको कुकुरले मलाई हेरेर भुक्छ। उसलाई सम्झाई-बुझाई गरिदिनुपर्‍यो।,Nagar Prahari,not_genuine
73,I ordered momo online and they didn't give enough achaar. This is an injustice!,Nagar Prahari,not_genuine
74,"Mero mobile charge ma rakheko, charge nai bhayena. Batti choriyo ki?",Nagar Prahari,not_genuine
75,"मैले सपनामा चोर देखेँ। भोलि मेरो घरमा चोरी हुन सक्छ, आजैदेखि पहरा दिनुपर्‍यो।",Nagar Prahari,not_genuine
76,The street vendor is selling panipuri but he is not smiling. This is suspicious.,Nagar Prahari,not_genuine
77,"Malai film herna jana man lagyo, ticket paaina. Ticket ko byawastha garidinu paryo.",Nagar Prahari,not_genuine
78,मेरो फेसबुक पासवर्ड बिर्सिएँ। पत्ता लगाउन सहयोग चाहियो।,Nagar Prahari,not_genuine
79,"My cat is stuck on a chair. It's not a tree, just a chair. But it's refusing to come down. Help!",Nagar Prahari,not_genuine
80,Aja mausam dherai ramro chha. Malai kaam garna man lagena. Chutti milaidiuna.,Nagar Prahari,not_genuine
81,"मेरो चिया चिसो भयो। कसले चिसो बनायो, पत्ता लगाउनुपर्‍यो।",Nagar Prahari,not_genuine
82,Aakash ma bhako badal ko aakriti ali rishaako jasto chha. Dekhera dar lagcha. Yeslai hasilo banaidinu paryo.,Environment,not_genuine
83,आज घाम धेरै चर्को लाग्यो। कृपया घामलाई अलि मधुरो बनाइदिनुहोस्।,Environment,not_genuine
84,"The river is flowing in the wrong direction today. It should flow from north to south, but it feels like it's going south to north.",Environment,not_genuine
85,Hamro ghar najikai ko rukh le dherai chhaya dinchha. Malai gham tapna paaina. Rukh katdinu paryo.,Environment,not_genuine
86,परेवाहरूले मेरो कौसीमा बसेर मिटिङ गर्छन्। तिनीहरूले कुनै षड्यन्त्र गरिरहेका छन् कि?,Environment,not_genuine
87,The wind stole my hat. Please file a report against the wind.,Environment,not_genuine
88,Phoolbarima phuleko phool ko rang man parena. Pahelo phool phulaunu paryo.,Environment,not_genuine
89,खोलाको पानी धेरै चिसो छ। नुहाउनको लागि तातो बनाउने व्यवस्था गर्नुपर्‍यो।,Environment,not_genuine
90,A tree is blocking my view of my neighbor's house. This is a violation of my right to information.,Environment,not_genuine
91,Hawa dherai jor le chalyo. Mero kapada udayo.,Environment,not_genuine
92,जंगलमा जनावरहरू धेरै हल्ला गर्छन्। तिनीहरूलाई राति १० बजेपछि शान्त रहन सूचना जारी गर्नुपर्‍यो।,Environment,not_genuine
93,"The moon is too bright tonight, I can't sleep. Can you put a curtain on it?",Environment,not_genuine
94,"Barsha dherai paryo. Malai rujna man thiyo, tara office jana paryo. Barsha rokidinu paryo.",Environment,not_genuine
95,"मेरो घरमा कमिलाको ताँती लागेको छ। तिनीहरू कहाँ जाँदैछन्, पत्ता लगाउनुपर्‍यो।",Environment,not_genuine
96,The air smells too much like... air. Can we add a pleasant fragrance like lavender to the city's air supply?,Environment,not_genuine
97,Tyo pahad ali thulo bhayo. Yesle garda suryastai chito huncha.,Environment,not_genuine
98,पुतलीहरू किन यताउता उडिरहन्छन्? तिनीहरूलाई एउटा निश्चित बाटोमा हिँड्न सिकाउनुपर्छ।,Environment,not_genuine
99,"I don't like spiders. Please declare my room a ""spider-free zone"".",Environment,not_genuine
100,Bagmati ko paani ma sun bhetinchha re. Malai euta balta nikalna anumati chahiyo.,Environment,not_genuine
101,"आज बिहान कुहिरो धेरै लाग्यो, मैले बाटो नै देखिनँ। भोलिदेखि कुहिरो लाग्न दिनुहुँदैन।",Environment,not_genuine
102,The birds are chirping too early in the morning. Their official chirping time should be after 8 AM.,Environment,not_genuine
103,Mero chhora le school ma ball khelna paudaina. Uslai Ronaldo banaunu chha.,Education,not_genuine
104,हाम्रो कक्षाकोठामा भुत देखियो। कृपया झाँक्री लगाएर यसलाई हटाउनु पर्यो।,Education,not_genuine
105,My teacher talks too fast. Can you ask her to speak in slow motion?,Education,not_genuine
106,School canteen ma momo ko price dherai chha. 5 rupiya ma 1 plate momo dinu paryo.,Education,not_genuine
107,पाठ्यक्रममा 'टिकटक भिडियो बनाउने कला' भन्ने विषय थपिनु पर्छ।,Education,not_genuine
108,The school bus is too red. My son prefers blue. Please repaint it.,Education,not_genuine
109,Mero copy ko page haru sidhiyo. Naya copy kinaidinu paryo.,Education,not_genuine
110,विज्ञानको किताबमा एलियनको फोटो छैन। एलियनको फोटो राख्नु पर्छ।,Education,not_genuine
111,I don't want to learn history. It's all in the past. Can I learn about the future instead?,Education,not_genuine
112,Mero chhora le school ma sabaile uslai chidaye. Sabai chidayune haru lai jail halidinu paryo.,Education,not_genuine
113,शिक्षकले बोर्डमा लेखेको अक्षर राम्रो छैन। उहाँलाई आर्ट क्लासमा पठाउनुपर्‍यो।,Education,not_genuine
114,The school gate is too small for my ego. Please make it wider.,Education,not_genuine
115,School ko paani ko dhara bata juice aaunu parcha.,Education,not_genuine
116,मेरो साथीले सधैँ मभन्दा धेरै नम्बर ल्याउँछ। उसको नम्बर काटिदिनुपर्‍यो।,Education,not_genuine
117,My son said the school wifi is too slow for gaming. Please upgrade the speed to 5G.,Education,not_genuine
118,"Malai school jana man lagdaina. Gharaima online padhai ko byawastha garaidinu paryo, tara online exam nahos.",Education,not_genuine
119,हाम्रो स्कुलमा पोखरी छैन। पौडी खेल्ने पोखरी बनाउनुपर्छ।,Education,not_genuine
120,"The school uniform makes me look fat. Please design a new, slimmer uniform.",Education,not_genuine
121,"Mero chhora le school ma kasto kasto kura sikera aauchha, ramro kura matra sikaunu paryo.",Education,not_genuine
122,स्कुलको मैदानमा भूत दौडिरहेको देखेँ। यसलाई पक्रेर थुनिदिनुपर्‍यो।,Education,not_genuine
123,My daughter wants a pony at school for transport. Please arrange this.,Education,not_genuine
124,Bato ko khamba ma mero naam lekhnu paryo. Mero naam ko khamba chaina.,Public Infrastructure,not_genuine
125,"पुलको रेलिङ धेरै चम्किलो छ, आँखा तिर्मिराउँछ। यसलाई म्याट फिनिसमा रङ लगाउनु पर्छ।",Public Infrastructure,not_genuine
126,The street lights are attracting too many moths. Can you replace them with lights that only repel moths?,Public Infrastructure,not_genuine
